Time	Dept	Course	Lang	Tutor
11:30 AM	COSC	211	Java	Andrew
11:40 AM	COSC	211	Java	Andrew
11:50 AM	COSC	211	Java	Andrew
12:10 PM	COSC	146	Perl	Andrew
1:20 PM	COSC	146	Perl	Andrew
3:00 PM	COSC	221	Java	Will
3:30 PM	COSC	211	Java	Will
4:00 PM	COSC	311	Java	Will
4:30 PM	COSC	311	Java	Andrew
4:45 PM	COSC	221	Java	Andrew
4:55 PM	COSC	311	Java	Andrew
5:55 PM	COSC	211	Java	Andrew
6:00 PM	COSC	221	Java	Andrew
6:20 PM	COSC	221	Java	Andrew
6:25 PM	COSC	221	Java	Andrew
6:30 PM	COSC	221	Java	Andrew
6:40 PM	COSC	311	Java	Andrew
6:45 PM	COSC	221	Java	Andrew
7:00 PM	COSC	311	Java	Will
7:10 PM	COSC	211	Java	Will
7:20 PM	COSC	211	Java	Will
7:30 PM	COSC	211	Java	Will
7:40 PM	COSC	311	Java	Will
7:50 PM	COSC	211	Java	Will
7:59 PM	COSC	311	Java	Will
