Time	Dept	Course	Lang	Tutor
10:30 AM	COSC	211	Java	Will
11:00 AM	COSC	221	LC3	Will
11:10 AM	COSC	211	Java	Will
12:10 PM	COSC	231	Javascript	Andrew
2:10 PM	COSC	231	Javascript	Will
2:30 PM	COSC	231	Javascript	Will
2:40 PM	COSC	146	Perl	Will
3:30 PM	COSC	231	Javascript	Will
5:00 PM	COSC	231	Javascript	Andrew
5:10 PM	COSC	231	Javascript	Andrew
5:30 PM	COSC	246	C++	Andrew
6:00 PM	COSC	231	Javascript	Andrew
6:30 PM	COSC	246	C++	Andrew
6:55 PM	COSC	246	C++	Andrew
7:15 PM	COSC	146	Perl	Maryam
7:30 PM	COSC	146	Perl	Maryam
