Time	Dept	Course	Lang	Tutor
10:55 AM	COSC	211	Java	Will
11:15 AM	COSC	211	Java	Andrew
12:30 PM	COSC	211	Java	Andrew
12:45 PM	COSC	211	Java	Andrew
12:55 PM	COSC	211	Java	Andrew
2:40 PM	COSC	231	Javascript	Will
3:00 PM	COSC	231	Javascript	Will
3:45 PM	COSC	211	Java	Will
4:16 PM	COSC	211	Java	Will
4:19 PM	COSC	592	Android	Will
4:25 PM	COSC	111	Java	Will
4:28 PM	COSC	221	Java	Will
4:30 PM	COSC	231	HTML	Andrew
4:35 PM	COSC	311	Java	Andrew
4:40 PM	COSC	111	Java	Andrew
4:50 PM	COSC	221	Java	Andrew
5:10 PM	COSC	311	Java	Andrew
5:20 PM	COSC	221	Java	Andrew
5:30 PM	COSC	592	Android	Andrew
6:20 PM	COSC	221	Java	Andrew
7:20 PM	COSC	221	Java	Andrew
