Time	Dept	Course	Lang	Tutor
10:30 AM	COSC	341	C	Will
11:30 AM	COSC	341	C	Andrew
11:40 AM	COSC	341	C	Andrew
11:50 AM	COSC	311	Java	Andrew
12:10 PM	COSC	231	Javascript	Andrew
12:30 PM	COSC	311	Java	Andrew
12:40 PM	COSC	311	Java	Andrew
1:30 PM	COSC	311	Java	Andrew
1:40 PM	COSC	341	C	Andrew
2:30 PM	COSC	311	Java	Will
2:45 PM	COSC	311	Java	Will
3:00 PM	COSC	311	Java	Will
3:15 PM	COSC	311	Java	Will
3:35 PM	COSC	311	Java	Will
3:45 PM	COSC	311	Java	Will
4:11 PM	COSC	311	Java	Will
4:17 PM	COSC	341	C	Will
4:35 PM	COSC	311	Java	Andrew
4:45 PM	COSC	426	Java	Andrew
5:50 PM	COSC	311	Java	Andrew
5:50 PM	COSC	426	Java	Andrew
6:30 PM	COSC	211	Java	Andrew
6:45 PM	COSC	111	Java	Andrew
2:20 PM	COSC	341	C	ling
